Sr. No.,UNDERLYING,SYMBOL
1,ABB India Limited,ABB
2,ACC Limited,ACC
3,APL Apollo Tubes Limited,APLAPOLLO
4,AU Small Finance Bank Limited,AUBANK
5,Aarti Industries Limited,AARTIIND
6,Adani Energy Solutions Limited,ADANIENSOL
7,Adani Enterprises Limited,ADANIENT
8,Adani Green Energy Limited,ADANIGREEN
9,Adani Ports and Special Economic Zone Limited,ADANIPORTS
10,Adani Total Gas Limited,ATGL
11,Aditya Birla Capital Limited,ABCAPITAL
12,Aditya Birla Fashion and Retail Limited,ABFRL
13,Alkem Laboratories Limited,ALKEM
14,Ambuja Cements Limited,AMBUJACEM
15,Angel One Limited,ANGELONE
16,Apollo Hospitals Enterprise Limited,APOLLOHOSP
17,Apollo Tyres Limited,APOLLOTYRE
18,Ashok Leyland Limited,ASHOKLEY
19,Asian Paints Limited,ASIANPAINT
20,Astral Limited,ASTRAL
21,Aurobindo Pharma Limited,AUROPHARMA
22,Avenue Supermarts Limited,DMART
23,Axis Bank Limited,AXISBANK
24,BIRLASOFT LIMITED,BSOFT
25,BSE Limited,BSE
26,Bajaj Auto Limited,BAJAJ-AUTO
27,Bajaj Finance Limited,BAJFINANCE
28,Bajaj Finserv Limited,BAJAJFINSV
29,Balkrishna Industries Limited,BALKRISIND
30,Bandhan Bank Limited,BANDHANBNK
31,Bank of Baroda,BANKBARODA
32,Bank of India,BANKINDIA
33,Berger Paints (I) Limited,BERGEPAINT
34,Bharat Electronics Limited,BEL
35,Bharat Forge Limited,BHARATFORG
36,Bharat Heavy Electricals Limited,BHEL
37,Bharat Petroleum Corporation Limited,BPCL
38,Bharti Airtel Limited,BHARTIARTL
39,Biocon Limited,BIOCON
40,Bosch Limited,BOSCHLTD
41,Britannia Industries Limited,BRITANNIA
42,CESC Limited,CESC
43,CG Power and Industrial Solutions Limited,CGPOWER
44,Canara Bank,CANBK
45,Central Depository Services (India) Limited,CDSL
46,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
47,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
48,Cipla Limited,CIPLA
49,Coal India Limited,COALINDIA
50,Coforge Limited,COFORGE
51,Colgate Palmolive (India) Limited,COLPAL
52,Computer Age Management Services Limited,CAMS
53,Container Corporation of India Limited,CONCOR
54,Crompton Greaves Consumer Electricals Limited,CROMPTON
55,Cummins India Limited,CUMMINSIND
56,Cyient Limited,CYIENT
57,DLF Limited,DLF
58,Dabur India Limited,DABUR
59,Dalmia Bharat Limited,DALBHARAT
60,Deepak Nitrite Limited,DEEPAKNTR
61,Delhivery Limited,DELHIVERY
62,Divi's Laboratories Limited,DIVISLAB
63,Dixon Technologies (India) Limited,DIXON
64,Dr. Reddy's Laboratories Limited,DRREDDY
65,Eicher Motors Limited,EICHERMOT
66,Escorts Kubota Limited,ESCORTS
67,Exide Industries Limited,EXIDEIND
68,FSN E-Commerce Ventures Limited,NYKAA
69,GAIL (India) Limited,GAIL
70,GMR AIRPORTS LIMITED,GMRAIRPORT
71,Glenmark Pharmaceuticals Limited,GLENMARK
72,Godrej Consumer Products Limited,GODREJCP
73,Godrej Properties Limited,GODREJPROP
74,Granules India Limited,GRANULES
75,Grasim Industries Limited,GRASIM
76,HCL Technologies Limited,HCLTECH
77,HDFC Asset Management Company Limited,HDFCAMC
78,HDFC Bank Limited,HDFCBANK
79,HDFC Life Insurance Company Limited,HDFCLIFE
80,HFCL Limited,HFCL
81,Havells India Limited,HAVELLS
82,Hero MotoCorp Limited,HEROMOTOCO
83,Hindalco Industries Limited,HINDALCO
84,Hindustan Aeronautics Limited,HAL
85,Hindustan Copper Limited,HINDCOPPER
86,Hindustan Petroleum Corporation Limited,HINDPETRO
87,Hindustan Unilever Limited,HINDUNILVR
88,Hindustan Zinc Limited,HINDZINC
89,Housing & Urban Development Corporation Limited,HUDCO
90,ICICI Bank Limited,ICICIBANK
91,ICICI Lombard General Insurance Company Limited,ICICIGI
92,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
93,IDFC First Bank Limited,IDFCFIRSTB
94,IIFL Finance Limited,IIFL
95,IRB Infrastructure Developers Limited,IRB
96,ITC Limited,ITC
97,Indian Bank,INDIANB
98,Indian Energy Exchange Limited,IEX
99,Indian Oil Corporation Limited,IOC
100,Indian Railway Catering And Tourism Corporation Limited,IRCTC
101,Indian Railway Finance Corporation Limited,IRFC
102,Indian Renewable Energy Development Agency Limited,IREDA
103,Indraprastha Gas Limited,IGL
104,Indus Towers Limited,INDUSTOWER
105,IndusInd Bank Limited,INDUSINDBK
106,Info Edge (India) Limited,NAUKRI
107,Infosys Limited,INFY
108,Inox Wind Limited,INOXWIND
109,InterGlobe Aviation Limited,INDIGO
110,JSW Energy Limited,JSWENERGY
111,JSW Steel Limited,JSWSTEEL
112,Jindal Stainless Limited,JSL
113,Jindal Steel & Power Limited,JINDALSTEL
114,Jio Financial Services Limited,JIOFIN
115,Jubilant Foodworks Limited,JUBLFOOD
116,KEI Industries Limited,KEI
117,KPIT Technologies Limited,KPITTECH
118,Kalyan Jewellers India Limited,KALYANKJIL
119,Kotak Mahindra Bank Limited,KOTAKBANK
120,L&T Finance Limited,LTF
121,LIC Housing Finance Limited,LICHSGFIN
122,LTIMindtree Limited,LTIM
123,Larsen & Toubro Limited,LT
124,Laurus Labs Limited,LAURUSLABS
125,Life Insurance Corporation Of India,LICI
126,Lupin Limited,LUPIN
127,MRF Limited,MRF
128,Macrotech Developers Limited,LODHA
129,Mahanagar Gas Limited,MGL
130,Mahindra & Mahindra Financial Services Limited,M&MFIN
131,Mahindra & Mahindra Limited,M&M
132,Manappuram Finance Limited,MANAPPURAM
133,Marico Limited,MARICO
134,Maruti Suzuki India Limited,MARUTI
135,Max Financial Services Limited,MFSL
136,Max Healthcare Institute Limited,MAXHEALTH
137,MphasiS Limited,MPHASIS
138,Multi Commodity Exchange of India Limited,MCX
139,Muthoot Finance Limited,MUTHOOTFIN
140,NBCC (India) Limited,NBCC
141,NCC Limited,NCC
142,NHPC Limited,NHPC
143,NMDC Limited,NMDC
144,NTPC Limited,NTPC
145,National Aluminium Company Limited,NATIONALUM
146,Nestle India Limited,NESTLEIND
147,Oberoi Realty Limited,OBEROIRLTY
148,Oil & Natural Gas Corporation Limited,ONGC
149,Oil India Limited,OIL
150,One 97 Communications Limited,PAYTM
151,Oracle Financial Services Software Limited,OFSS
152,PB Fintech Limited,POLICYBZR
153,PI Industries Limited,PIIND
154,PNB Housing Finance Limited,PNBHOUSING
155,Page Industries Limited,PAGEIND
156,Patanjali Foods Limited,PATANJALI
157,Persistent Systems Limited,PERSISTENT
158,Petronet LNG Limited,PETRONET
159,Pidilite Industries Limited,PIDILITIND
160,Piramal Enterprises Limited,PEL
161,Polycab India Limited,POLYCAB
162,Poonawalla Fincorp Limited,POONAWALLA
163,Power Finance Corporation Limited,PFC
164,Power Grid Corporation of India Limited,POWERGRID
165,Prestige Estates Projects Limited,PRESTIGE
166,Punjab National Bank,PNB
167,RBL Bank Limited,RBLBANK
168,REC Limited,RECLTD
169,Reliance Industries Limited,RELIANCE
170,SBI Cards and Payment Services Limited,SBICARD
171,SBI Life Insurance Company Limited,SBILIFE
172,SHREE CEMENT LIMITED,SHREECEM
173,SJVN Limited,SJVN
174,SRF Limited,SRF
175,Samvardhana Motherson International Limited,MOTHERSON
176,Shriram Finance Limited,SHRIRAMFIN
177,Siemens Limited,SIEMENS
178,Solar Industries India Limited,SOLARINDS
179,Sona BLW Precision Forgings Limited,SONACOMS
180,State Bank of India,SBIN
181,Steel Authority of India Limited,SAIL
182,Sun Pharmaceutical Industries Limited,SUNPHARMA
183,Supreme Industries Limited,SUPREMEIND
184,Syngene International Limited,SYNGENE
185,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
186,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
187,TVS Motor Company Limited,TVSMOTOR
188,Tata Chemicals Limited,TATACHEM
189,Tata Communications Limited,TATACOMM
190,Tata Consultancy Services Limited,TCS
191,Tata Elxsi Limited,TATAELXSI
192,Tata Motors Limited,TATAMOTORS
193,Tata Power Company Limited,TATAPOWER
194,Tata Steel Limited,TATASTEEL
195,Tata Technologies Limited,TATATECH
196,Tech Mahindra Limited,TECHM
197,The Federal Bank Limited,FEDERALBNK
198,The Indian Hotels Company Limited,INDHOTEL
199,The Phoenix Mills Limited,PHOENIXLTD
200,The Ramco Cements Limited,RAMCOCEM
201,Titan Company Limited,TITAN
202,Torrent Pharmaceuticals Limited,TORNTPHARM
203,Torrent Power Limited,TORNTPOWER
204,Trent Limited,TRENT
205,Tube Investments of India Limited,TIINDIA
206,UPL Limited,UPL
207,UltraTech Cement Limited,ULTRACEMCO
208,Union Bank of India,UNIONBANK
209,United Spirits Limited,UNITDSPR
210,Varun Beverages Limited,VBL
211,Vedanta Limited,VEDL
212,Vodafone Idea Limited,IDEA
213,Voltas Limited,VOLTAS
214,Wipro Limited,WIPRO
215,Yes Bank Limited,YESBANK
216,Zomato Limited,ZOMATO
217,Zydus Lifesciences Limited,ZYDUSLIFE
218,Nifty 50 Index,NIFTY
219,Bank Nifty Index,BANKNIFTY
220,Sensex Index,SENSEX
